2018-01-18 15:12:01 status unpacked openssh-server:armhf 1:7.4p1-10+deb9u2
2018-01-18 15:12:01 upgrade openssh-client:armhf 1:7.4p1-10+deb9u1 1:7.4p1-10+deb9u2
2018-01-18 15:12:01 status half-configured openssh-client:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:01 status unpacked openssh-client:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:01 status half-installed openssh-client:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:02 status half-installed openssh-client:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:02 status unpacked openssh-client:armhf 1:7.4p1-10+deb9u2
2018-01-18 15:12:02 status unpacked openssh-client:armhf 1:7.4p1-10+deb9u2
2018-01-18 15:12:02 upgrade ssh:all 1:7.4p1-10+deb9u1 1:7.4p1-10+deb9u2
2018-01-18 15:12:02 status half-configured ssh:all 1:7.4p1-10+deb9u1
2018-01-18 15:12:03 status unpacked ssh:all 1:7.4p1-10+deb9u1
2018-01-18 15:12:03 status half-installed ssh:all 1:7.4p1-10+deb9u1
2018-01-18 15:12:03 status half-installed ssh:all 1:7.4p1-10+deb9u1
2018-01-18 15:12:03 status unpacked ssh:all 1:7.4p1-10+deb9u2
2018-01-18 15:12:03 status unpacked ssh:all 1:7.4p1-10+deb9u2
2018-01-18 15:12:03 upgrade sensible-utils:all 0.0.9 0.0.9+deb9u1
2018-01-18 15:12:03 status half-configured sensible-utils:all 0.0.9
2018-01-18 15:12:03 status unpacked sensible-utils:all 0.0.9
2018-01-18 15:12:03 status half-installed sensible-utils:all 0.0.9
2018-01-18 15:12:03 status triggers-pending mime-support:all 3.60
2018-01-18 15:12:03 status half-installed sensible-utils:all 0.0.9
2018-01-18 15:12:04 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-01-18 15:12:04 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-01-18 15:12:04 startup packages configure
2018-01-18 15:12:04 configure sensible-utils:all 0.0.9+deb9u1 <none>
2018-01-18 15:12:04 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-01-18 15:12:04 status half-configured sensible-utils:all 0.0.9+deb9u1
2018-01-18 15:12:04 status installed sensible-utils:all 0.0.9+deb9u1
2018-01-18 15:12:05 startup archives unpack
2018-01-18 15:12:05 upgrade tzdata:all 2017b-1 2017c-0+deb9u1
2018-01-18 15:12:05 status half-configured tzdata:all 2017b-1
2018-01-18 15:12:05 status unpacked tzdata:all 2017b-1
2018-01-18 15:12:05 status half-installed tzdata:all 2017b-1
2018-01-18 15:12:07 status half-installed tzdata:all 2017b-1
2018-01-18 15:12:08 status unpacked tzdata:all 2017c-0+deb9u1
2018-01-18 15:12:08 status unpacked tzdata:all 2017c-0+deb9u1
2018-01-18 15:12:08 upgrade iproute2:armhf 4.9.0-1 4.9.0-1+deb9u1
2018-01-18 15:12:08 status half-configured iproute2:armhf 4.9.0-1
2018-01-18 15:12:08 status unpacked iproute2:armhf 4.9.0-1
2018-01-18 15:12:08 status half-installed iproute2:armhf 4.9.0-1
2018-01-18 15:12:10 status half-installed iproute2:armhf 4.9.0-1
2018-01-18 15:12:11 status unpacked iproute2:armhf 4.9.0-1+deb9u1
2018-01-18 15:12:11 status unpacked iproute2:armhf 4.9.0-1+deb9u1
2018-01-18 15:12:11 upgrade libicu57:armhf 57.1-6 57.1-6+deb9u1
2018-01-18 15:12:11 status half-configured libicu57:armhf 57.1-6
2018-01-18 15:12:11 status unpacked libicu57:armhf 57.1-6
2018-01-18 15:12:11 status half-installed libicu57:armhf 57.1-6
2018-01-18 15:12:17 status half-installed libicu57:armhf 57.1-6
2018-01-18 15:12:17 status unpacked libicu57:armhf 57.1-6+deb9u1
2018-01-18 15:12:17 status unpacked libicu57:armhf 57.1-6+deb9u1
2018-01-18 15:12:17 upgrade libxml2:armhf 2.9.4+dfsg1-2.2+deb9u1 2.9.4+dfsg1-2.2+deb9u2
2018-01-18 15:12:17 status half-configured libxml2:armhf 2.9.4+dfsg1-2.2+deb9u1
2018-01-18 15:12:17 status unpacked libxml2:armhf 2.9.4+dfsg1-2.2+deb9u1
2018-01-18 15:12:17 status half-installed libxml2:armhf 2.9.4+dfsg1-2.2+deb9u1
2018-01-18 15:12:18 status half-installed libxml2:armhf 2.9.4+dfsg1-2.2+deb9u1
2018-01-18 15:12:18 status unpacked libxml2:armhf 2.9.4+dfsg1-2.2+deb9u2
2018-01-18 15:12:18 status unpacked libxml2:armhf 2.9.4+dfsg1-2.2+deb9u2
2018-01-18 15:12:19 upgrade bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:19 status half-configured bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status unpacked bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status half-installed bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status half-installed bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status unpacked bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:19 status unpacked bind9-host:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:19 upgrade libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:19 status half-configured libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status unpacked libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status half-installed libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:19 status half-installed libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:20 status unpacked libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:20 status unpacked libisc160:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:20 upgrade libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:20 status half-configured libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:20 status unpacked libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:20 status half-installed libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:21 status half-installed libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:21 status unpacked libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
